Order,Property Id,DOF Gross Floor Area,Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Latitude,Longitude,Community Board,Council District,Census Tract,time_since_first,Borough_Bronx,Borough_Brooklyn,Borough_Manhattan,Borough_Queens,Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Office,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility
3903,2669664,82644.0,83647.0,1922,1,100,55.4,59.4,4.5,0.0,101.1,70700.0,707.0,1401785.7,398426.0,361.6,3.8,357.9,88547.0,,,97.2,40.76251,-73.970085,5.0,4.0,11203.0,5894753.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8336,2809354,51317.0,51317.0,1925,1,100,118.7,123.9,3.6,1.1,155.5,5422905.0,57366.2,666483.2,182759.4,349.9,288.0,61.8,51317.0,,,151.7,40.849371999999995,-73.832075,10.0,13.0,26601.0,3508878.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10679,2798138,84000.0,84000.0,1939,1,100,94.7,101.0,3.7,0.9,132.2,6882494.7,74363.4,1072222.9,307673.9,465.1,365.6,99.5,84000.0,,,126.1,40.640791,-73.962404,14.0,40.0,514.0,5586567.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8485,2969427,66832.0,66832.0,1989,1,100,101.0,101.8,4.4,0.9,138.1,5751900.0,58030.1,996327.9,292757.3,398.0,305.5,92.5,66832.0,4832.6,72.31,137.2,40.863602,-73.869382,11.0,15.0,33202.0,13822533.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2127,3119482,66577.0,66577.0,1936,1,100,75.0,,10.8,0.1,,390254.8,3902.5,2512191.0,719889.9,408.9,175.8,233.1,66577.0,961.0,14.43,156.3,40.751553,-73.98415200000001,5.0,4.0,84.0,5258161.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11047,4399604,118800.0,136620.0,1917,1,100,49.8,53.1,2.0,0.5,69.7,5864147.4,63370.6,934782.8,268241.2,398.2,311.5,86.7,136620.0,,,66.6,40.631824,-74.02934499999999,10.0,43.0,66.0,5182008.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7507,4926034,52030.0,52030.0,1924,1,100,101.2,110.2,5.2,0.1,149.6,359813.0,3908.4,963103.2,272123.2,401.0,311.6,89.4,52030.0,,,141.9,40.844819,-73.878502,6.0,15.0,361.0,5614538.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11576,5793833,51800.0,51800.0,1964,1,100,88.3,92.7,4.5,0.8,129.2,3772499.9,40102.7,803841.3,231774.8,275.0,200.4,74.6,51800.0,2616.7,50.52,125.2,40.586363,-73.966233,13.0,47.0,37401.0,5508078.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,5864824,84772.0,63834.0,1911,1,100,95.8,100.2,13.4,0.5,200.7,3200133.3,34800.4,2912724.1,854948.7,440.3,170.0,270.3,63834.0,1560.4,24.44,195.9,40.744802,-73.995114,4.0,3.0,91.0,5860320.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8580,4043138,51180.0,59710.0,1940,1,100,104.2,112.2,4.1,0.0,143.0,255769.4,2557.7,840169.9,242301.7,472.0,394.0,78.0,59710.0,,,135.4,40.891873,-73.860168,12.0,12.0,420.0,6536077.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1395,2637906,60000.0,60000.0,1961,1,100,76.3,80.4,6.9,0.6,133.8,3113776.6,34032.1,1466746.4,415640.6,301.5,165.4,136.1,60000.0,2093.3,34.89,131.3,40.73469,-74.009371,2.0,3.0,75.0,5516919.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4768,4038898,81133.0,85247.0,1928,1,100,56.9,,5.5,,,3239719.0,,1612492.9,468267.7,321.7,172.1,149.6,85247.0,2564.5,30.08,99.3,40.787718,-73.95534,8.0,4.0,16001.0,5867312.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7490,2681757,125075.0,104175.0,1975,1,100,87.7,90.4,14.2,0.4,196.1,4223649.8,43654.7,4908247.2,1479232.3,679.8,224.3,455.5,104175.0,,,190.5,40.853773,-73.881558,6.0,15.0,393.0,5867312.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3146,2637882,104238.0,104238.0,1924,1,100,59.1,,,0.5,,4742809.1,52761.5,1418233.4,,383.5,251.9,131.6,104238.0,2925.1,28.06,90.5,40.782227,-73.976157,7.0,6.0,165.0,5516919.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6845,4046341,186000.0,180000.0,1968,1,100,9.4,9.4,1.1,0.1,18.0,986200.0,9862.0,702803.7,205980.0,117.6,52.4,65.2,180000.0,335.9,1.87,18.0,40.809593,-73.90734599999999,1.0,8.0,31.0,5439846.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,5864820,97798.0,99754.0,1909,1,100,93.8,97.1,10.8,0.1,187.0,466584.8,5667.8,3726276.2,1073080.2,713.5,24.8,688.7,99754.0,,,184.5,40.708763,-74.007243,1.0,1.0,1502.0,5860320.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2469,4407989,200000.0,210000.0,1953,1,100,78.4,86.0,6.0,,130.8,,,4432942.9,1267736.3,1318.0,906.6,411.4,210000.0,11535.0,54.93,124.2,40.747243,-73.981208,6.0,2.0,72.0,5867312.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6635,3512806,57240.0,68688.0,1922,1,100,70.8,77.1,3.8,0.6,108.3,3962500.2,43931.7,899543.1,263641.0,293.9,210.5,83.5,68688.0,4232.5,61.62,101.7,40.834210999999996,-73.919602,4.0,16.0,197.0,5439482.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5906,3127349,60000.0,65000.0,1925,1,100,98.2,101.8,5.1,0.5,141.4,3351499.9,33515.0,1246287.6,353500.3,462.7,347.0,115.7,70000.0,4897.3,69.96,139.0,40.84241,-73.938743,12.0,10.0,253.0,5509286.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4512,4945824,160311.0,173670.0,1963,1,100,105.5,102.9,5.3,0.0,158.3,393256.7,4001.4,3197823.7,917703.7,1295.3,20.9,1274.4,173670.0,,,162.2,40.766496999999994,-73.958878,8.0,5.0,126.0,5860320.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8165,5764710,66000.0,66000.0,1950,1,100,72.9,77.4,3.4,0.7,105.3,4012153.4,43463.1,796062.7,222825.0,287.0,213.1,73.9,66000.0,,,101.7,40.824825,-73.879239,9.0,17.0,5001.0,5608342.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,2827111,56614.0,59445.0,1930,1,100,35.7,35.7,5.6,0.2,77.5,987780.0,9877.8,1136679.2,333141.6,157.9,52.5,105.5,59445.0,567.2,9.54,77.5,40.725097,-74.009261,2.0,3.0,37.0,5615837.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5438,2803464,67536.0,75000.0,1991,1,100,78.7,82.6,7.4,0.6,139.4,3957231.8,43072.1,1948941.8,553597.7,391.0,210.2,180.9,75000.0,4318.7,57.58,137.0,40.804041,-73.963095,9.0,7.0,199.0,4406741.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4665,2638900,64058.0,64058.0,1925,1,100,76.0,75.5,5.8,0.6,120.7,3568208.4,35682.1,1297752.8,371880.5,310.0,189.5,120.4,64058.0,1942.7,30.33,122.1,40.777194,-73.95985,8.0,4.0,142.0,5612293.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7561,4028288,81450.0,85000.0,1936,1,100,116.1,123.7,6.2,0.0,170.5,410600.0,4150.7,1887723.1,530045.4,767.0,591.9,175.2,85000.0,,,164.8,40.856445,-73.90055,5.0,14.0,23704.0,5442918.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,5859374,192471.0,221000.0,1920,1,80,37.4,39.0,6.9,0.2,90.4,3031299.8,33802.3,5230309.1,1532915.7,646.4,161.0,485.4,221000.0,3750.0,16.97,88.7,40.724373,-73.99986700000001,2.0,1.0,49.0,10798115.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3619,2637481,389438.0,326305.0,1939,1,95,104.9,107.5,16.0,,232.4,,,21613853.2,6334657.3,3253.5,0.0,3253.5,396109.0,,,229.0,40.757529999999996,-73.977946,5.0,4.0,96.0,6110252.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8478,2730462,188760.0,188760.0,1974,1,100,191.3,195.9,9.9,1.6,276.1,29746690.4,306218.8,6359920.6,1863985.9,2170.2,1580.0,590.2,188760.0,16788.1,88.94,271.3,40.859846000000005,-73.830281,11.0,13.0,310.0,6735743.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7780,2815193,64368.0,64368.0,1928,1,100,86.1,96.7,4.5,0.5,132.4,3205918.7,33786.7,1035891.6,289520.9,364.2,268.1,96.1,64368.0,,,123.2,40.872516999999995,-73.903252,8.0,14.0,273.0,6823406.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6295,4406122,60165.0,60157.0,1926,1,100,153.0,152.1,7.2,0.1,206.2,467627.0,4676.3,1529516.3,432829.7,709.7,567.8,141.9,60157.0,,,209.0,40.863682,-73.920962,12.0,10.0,293.0,5346069.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12647,2798184,79012.0,79120.0,1951,1,100,88.4,87.9,3.4,0.8,116.3,6009300.0,60093.0,952630.5,267457.2,409.8,321.4,88.4,79120.0,5647.9,71.38,117.9,,,,,,5432168.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6640,5857994,181700.0,181700.0,1929,1,100,60.8,,4.0,0.0,,718618.1,7186.2,2546720.3,734515.0,851.6,615.3,236.3,181700.0,,,91.4,40.835299,-73.916948,4.0,16.0,197.0,5550052.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6398,3122828,145936.0,145936.0,1910,1,100,110.1,110.1,4.7,0.9,149.5,13706199.9,137062.0,2364161.1,692895.9,947.4,728.0,219.4,145936.0,76437.4,523.77,149.5,40.808626000000004,-73.92177099999999,1.0,8.0,25.0,5000356.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1850,5985966,55411.0,55411.0,2014,1,100,104.1,,19.1,,,2199564.4,,3571330.2,1056518.2,448.2,116.8,331.4,55411.0,,,244.1,40.746413000000004,-73.991382,5.0,3.0,95.0,13726072.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2921,5835847,173915.0,173915.0,2009,1,100,52.0,54.5,6.9,0.3,106.3,4968984.4,53972.0,4072941.9,1196705.5,641.9,263.9,378.0,173915.0,,,103.5,40.765587,-73.98808000000001,4.0,3.0,133.0,5871285.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,4776067,131817.0,131817.0,1920,1,95,48.5,,,,,1937406.4,,4449717.0,,515.8,102.9,412.9,131817.0,,,121.4,40.717744,-74.003297,1.0,1.0,33.0,2584607.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2234,2607418,675986.0,786069.0,1962,1,100,123.7,120.4,13.3,,232.6,,,35625756.0,10441310.6,7399.5,0.0,7399.5,786069.0,19146.5,24.36,236.7,40.743478,-73.98607,5.0,2.0,56.0,4830384.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5031,3204896,115223.0,103846.0,1963,1,100,92.2,98.7,4.2,0.0,130.2,304906.1,3097.5,1732540.1,483896.5,826.7,665.9,160.8,115664.0,,,125.2,,,,,,5001590.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14407,4945797,185016.0,215852.0,1953,2,100,79.2,83.5,5.0,0.7,123.5,13324603.6,143191.2,3765613.7,1084262.4,1057.2,707.7,349.4,215852.0,7930.8,36.74,119.6,,,,,,5860320.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
